camNum	frameNum	sysClock	buffer
1	356	17745	1
1	357	17795	1
1	358	17846	1
1	359	17896	1
1	360	17946	1
1	361	17995	1
1	362	18047	1
1	363	18095	1
1	364	18146	1
1	365	18197	1
1	366	18246	1
1	367	18296	1
1	368	18346	1
1	369	18396	1
1	370	18446	1
1	371	18495	1
1	372	18546	1
1	373	18596	1
1	374	18646	1
1	375	18697	1
1	376	18747	1
1	377	18796	1
1	378	18846	1
1	379	18896	1
1	380	18947	1
1	381	18996	1
1	382	19046	1
1	383	19097	1
1	384	19147	1
1	385	19197	1
1	386	19247	1
1	387	19297	1
1	388	19346	1
1	389	19397	1
1	390	19447	1
1	391	19497	1
1	392	19547	1
1	393	19597	1
1	394	19647	1
1	395	19697	1
1	396	19746	1
1	397	19797	1
1	398	19847	1
1	399	19898	1
1	400	19947	1
1	401	19999	1
1	402	20047	1
1	403	20097	1
1	404	20147	1
1	405	20198	1
1	406	20247	1
1	407	20297	1
1	408	20347	1
1	409	20398	1
1	410	20448	1
1	411	20497	1
1	412	20547	1
1	413	20598	1
1	414	20648	1
1	415	20698	1
1	416	20748	1
1	417	20797	1
1	418	20848	1
1	419	20898	1
1	420	20948	1
1	421	20997	1
1	422	21047	1
1	423	21098	1
1	424	21148	1
1	425	21198	1
1	426	21248	1
1	427	21297	1
1	428	21348	1
1	429	21398	1
1	430	21448	1
1	431	21498	1
1	432	21548	1
1	433	21598	1
1	434	21648	1
1	435	21699	1
1	436	21748	1
1	437	21798	1
1	438	21848	1
1	439	21898	1
1	440	21949	1
1	441	21998	1
1	442	22048	1
1	443	22098	1
1	444	22149	1
1	445	22199	1
1	446	22248	1
1	447	22298	1
1	448	22348	1
1	449	22398	1
1	450	22449	1
1	451	22498	1
1	452	22549	1
1	453	22598	1
1	454	22648	1
1	455	22699	1
1	456	22748	1
1	457	22798	1
1	458	22849	1
1	459	22899	1
1	460	22949	1
1	461	22998	1
1	462	23049	1
1	463	23098	1
1	464	23149	1
1	465	23199	1
1	466	23249	1
1	467	23299	1
1	468	23349	1
1	469	23399	1
1	470	23449	1
1	471	23498	1
1	472	23549	1
1	473	23599	1
1	474	23649	1
1	475	23699	1
1	476	23749	1
1	477	23798	1
1	478	23849	1
1	479	23899	1
1	480	23949	1
1	481	23999	1
1	482	24049	1
1	483	24099	1
1	484	24149	1
1	485	24199	1
1	486	24249	1
1	487	24299	1
1	488	24349	1
1	489	24399	1
1	490	24450	1
1	491	24499	1
1	492	24549	1
1	493	24599	1
1	494	24649	1
1	495	24700	1
1	496	24749	1
1	497	24799	1
1	498	24850	1
1	499	24900	1
1	500	24949	1
1	501	24999	1
1	502	25050	1
1	503	25100	1
1	504	25151	1
1	505	25199	1
1	506	25250	1
1	507	25300	1
